English,Hindi,Romanized_Hindi,Telugu
I didn't know what to wear to my best friend's funeral.,मुझे नहीं पता था कि मेरे सबसे अच्छे दोस्त के अंतिम संस्कार में क्या पहनूँ।,Mujhe nahi pata tha ki mere sabse achhe dost ke antim sanskar mein kya pehnu.,నా బెస్ట్ ఫ్రెండ్ అంత్యక్రియలకు ఏమి వేసుకోవాలో నాకు తెలియలేదు.
There used to be a big cherry tree behind my house.,मेरे घर के पीछे एक बड़ा चेरी का पेड़ हुआ करता था।,Mere ghar ke peeche ek bada cherry ka ped hua karta tha.,మా ఇంటి వెనుక ఒక పెద్ద చెర్రీ చెట్టు ఉండేది.
"Sometimes, books and movies made her feel things she couldn't explain.","कभी-कभी, किताबें और फिल्में उसे ऐसा महसूस कराती थीं जिसे वह समझा नहीं पाती थी।","Kabhi-kabhi, kitabein aur filmein use aisa mehsoos karati thin jise vah samjha nahi pati thi.","కొన్నిసార్లు, పుస్తకాలు మరియు సినిమాలు ఆమెకు వివరించలేని అనుభూతులను కలిగించేవి."
My bandaid wasn't sticky anymore so it fell off on the way to school.,"मेरी बैंड-एड अब चिपचिपी नहीं रही थी, इसलिए स्कूल जाते समय वह गिर गई।","Meri band-aid ab chipchipi nahi rahi thi, isliye school jate samay vah gir gayi.","నా బ్యాండ్-ఎయిడ్ జిగురు పోయింది, అందుకే స్కూల్‌కు వెళ్లే దారిలో అది ఊడిపోయింది."
He only had one drink but he's completely wasted.,उसने सिर्फ एक ड्रिंक ली थी लेकिन वह पूरी तरह से नशे में है।,Usne sirf ek drink li thi lekin vah poori tarah se nashe mein hai.,"అతను కేవలం ఒక డ్రింక్ మాత్రమే తీసుకున్నాడు, కానీ అతను పూర్తిగా తాగి ఉన్నాడు."
"In Hong Kong, everyone lives stacked together.","हांगकांग में, हर कोई एक-दूसरे के ऊपर सटकर रहता है।","Hong Kong mein, har koi ek-dusre ke upar satkar rehta hai.","హాంకాంగ్‌లో, అందరూ ఒకరిపై ఒకరు అన్నట్లుగా ఇరుగ్గా నివసిస్తారు."
"Her parents had been separated for almost three years, but she never expected them to actually go through with the divorce.","उसके माता-पिता लगभग तीन साल से अलग रह रहे थे, लेकिन उसने कभी नहीं सोचा था कि वे वास्तव में तलाक ले लेंगे।","Uske mata-pita lagbhag teen saal se alag reh rahe the, lekin usne kabhi nahi socha tha ki ve vastav mein talaq le lenge.","ఆమె తల్లిదండ్రులు దాదాపు మూడేళ్లుగా విడిగా ఉంటున్నారు, కానీ వారు నిజంగా విడాకులు తీసుకుంటారని ఆమె ఎప్పుడూ ఊహించలేదు."
These are the things that I want from a relationship.,ये वो चीजें हैं जो मैं एक रिश्ते से चाहता हूँ।,Ye vo cheezein hain jo main ek rishte se chahta hoon.,ఒక బంధం నుండి నేను ఆశించే విషయాలు ఇవే.
"When one considers the issue from a different perspective, the answer seems to change.","जब कोई इस मुद्दे को अलग नजरिए से देखता है, तो जवाब बदलता हुआ लगता है।","Jab koi is mudde ko alag nazariye se dekhta hai, to jawab badalta hua lagta hai.","ఒక సమస్యను వేరే కోణంలో చూసినప్పుడు, సమాధానం మారుతున్నట్లు అనిపిస్తుంది."
She twisted her ankle and couldn't go to soccer anymore.,उसका टखना मुड़ गया और वह अब सॉकर खेलने नहीं जा सकी।,Uska takhna mud gaya aur vah ab soccer khelne nahi ja saki.,ఆమె కాలు మడతపడటంతో ఇక సాకర్ ఆడటానికి వెళ్లలేకపోయింది.
